"filename", "language", "Python", "pip requirements", "YAML", "Markdown", "Docker", "HTML", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\consumers.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\fixtures\quizzes_seed.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 278, 0, 5, 283
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\management\commands\seed_quizzes.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\migrations\0001_initial.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\models.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 1, 8, 47
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\selectors.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 6, 5, 30
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\serializers.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 14, 15, 74
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\services.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 9, 6, 40
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\tests\test_quizzes_api.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 3, 2, 25
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\urls.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\views.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 15, 19, 121
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\migrations\0001_initial.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\models.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 4, 8, 34
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\openai_client.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 4, 11, 50
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\scenarios.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 3, 11, 130
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\serializers.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 19, 5, 33
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_roleplay\views.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 130, 16, 211
